Designator,Mid X,Mid Y,Rotation,Layer
C1,124.05,-87.5,0.0,top
C2,83.5,-87.5,180.0,top
C3,83.5,-85.0,180.0,top
C4,83.544716,-97.542816,0.0,top
C5,83.544716,-100.0,0.0,top
Q1,123.5,-76.5,225.0,top
Q2,76.5,-76.5,315.0,top
Q3,76.5,-123.5,45.0,top
Q4,123.5,-123.5,135.0,top
R1,137.5,-98.0,0.0,top
R10,102.0,-62.5,90.0,top
R11,83.801612,-66.119884,112.5,top
R12,87.49713,-64.589151,112.5,top
R13,72.069282,-74.897709,135.0,top
R14,74.897709,-72.069282,135.0,top
R15,64.589151,-87.49713,157.5,top
R16,66.119884,-83.801612,157.5,top
R17,62.5,-102.0,180.0,top
R18,62.5,-98.0,180.0,top
R19,66.119884,-116.198388,202.5,top
R2,137.5,-102.0,0.0,top
R20,64.589151,-112.50287,202.5,top
R21,74.897709,-127.930718,225.0,top
R22,72.069282,-125.102291,225.0,top
R23,87.49713,-135.410849,247.5,top
R24,83.801612,-133.880116,247.5,top
R25,102.0,-137.5,270.0,top
R26,98.0,-137.5,270.0,top
R27,116.198388,-133.880116,292.5,top
R28,112.50287,-135.410849,292.5,top
R29,127.930718,-125.102291,315.0,top
R3,133.880116,-83.801612,22.5,top
R30,125.102291,-127.930718,315.0,top
R31,135.410849,-112.50287,337.5,top
R32,133.880116,-116.198388,337.5,top
R33,119.25,-98.25,180.0,top
R34,119.0,-78.0,225.0,top
R35,78.0,-81.0,315.0,top
R36,81.0,-122.0,45.0,top
R37,122.0,-119.0,135.0,top
R38,120.5,-79.5,45.0,top
R39,79.5,-79.5,135.0,top
R4,135.410849,-87.49713,22.5,top
R40,79.5,-120.5,225.0,top
R41,120.5,-120.5,315.0,top
R42,102.5,-94.5,90.0,top
R43,105.0,-94.5,90.0,top
R5,125.102291,-72.069282,45.0,top
R6,127.930718,-74.897709,45.0,top
R7,112.50287,-64.589151,67.5,top
R8,116.198388,-66.119884,67.5,top
R9,98.0,-62.5,90.0,top
U1,119.25,-92.75,270.0,top
U10,58.5,-100.0,0.0,top
U11,61.658999,-115.881362,22.5,top
U12,70.655069,-129.344931,45.0,top
U13,84.118638,-138.341001,67.5,top
U14,100.0,-141.5,90.0,top
U15,115.881362,-138.341001,112.5,top
U16,129.344931,-129.344931,135.0,top
U17,138.341001,-115.881362,157.5,top
U19,83.5,-92.5,180.0,top
U2,141.5,-100.0,180.0,top
U3,138.341001,-84.118638,202.5,top
U4,129.344931,-70.655069,225.0,top
U5,115.881362,-61.658999,247.5,top
U6,100.0,-58.5,270.0,top
U7,84.118638,-61.658999,292.5,top
U8,70.655069,-70.655069,315.0,top
U9,61.658999,-84.118638,337.5,top
