Comment,Designator,Footprint,JLCPCB Part #（optional）
100n,C1,1206,C24497 
220u,"C10, C8",CP_Elec_10x10.5,C116211 
4.7u,C2,1206,C29823 
1u,"C7, C9",1206,C1848 
B560C,D1,DO-214AB,C6807784 
UF4007,D2,D_DO-41_SOD81_P10.16mm_Horizontal,SS210 
47u,L1,L_Sunlord_MWSA1206S-470,C408531 
CSD19534Q5A,Q1,TDSON-8-1,CSD19534Q5A 
10,"R1, R8",805,C17415 
47k,R11,603,C25819 
2k,R12,603,C22975 
10k,"R2, R3, R6",603,C25804 
100,"R4, R7",603,C22775 
100,R5,TO-263-2,C26159126 
3k,R9,2512,C175333 
50k,RV1,Potentiometer_Bourns_3296W_Vertical,C118911 
UCC27624DR,U1,SOIC-8_3.9x4.9mm_P1.27mm,C3655293 
XL6019E1,U2,TO-263-5_TabPin3,C73018 
