Designator,Mid X,Mid Y,Rotation,Layer
_3,189.55,-83.19,0.0,top
_2,162.6853,-64.1794,0.0,top
,133.0,-139.75,0.0,top
C1,123.55,-107.635,180.0,top
C10,154.5,-71.01,270.0,top
C2,123.55,-105.135,180.0,top
C7,127.5,-83.51,180.0,top
C8,123.0,-69.01,0.0,top
C9,162.0,-76.51,90.0,top
D1,154.45,-81.51,180.0,top
D2,164.0,-81.0,180.0,top
L1,139.0,-69.01,0.0,top
Q1,135.45,-101.0,270.0,top
R1,129.55,-99.635,0.0,top
R11,146.5,-90.01,180.0,top
R12,132.5,-90.01,270.0,top
R2,118.05,-100.135,180.0,top
R3,133.05,-105.135,0.0,top
R4,118.05,-98.135,180.0,top
R5,152.5,-101.0,0.0,top
R6,118.05,-102.635,180.0,top
R7,118.05,-104.635,180.0,top
R8,129.55,-102.635,0.0,top
R9,143.0375,-110.5,180.0,top
RV1,138.96,-91.51,0.0,top
U1,123.55,-101.135,270.0,top
U2,141.075,-81.735,0.0,top
