Designator,Mid X,Mid Y,Rotation,Layer
C1,184.25,-59.617621,270.0,top
F1,126.0,-125.2,180.0,top
H2,193.7978,-45.7563,0.0,top
H3,106.6557,-113.865,0.0,top
H4,174.7645,-45.7563,0.0,top
H5,106.6557,-132.8984,0.0,top
H6,176.5636,-115.6642,0.0,top
J1,164.39407716367924,-125.90592283632074,315.0,top
J15,148.1889363558935,-97.7266416076895,204.0,top
J16,138.8759363558935,-101.9213416076895,204.0,top
J17,129.5143363558935,-106.0506416076895,204.0,top
J18,108.1275,-123.1,270.0,top
J19,184.4,-46.6275,180.0,top
J2,165.65264435755364,-72.01092426726221,247.0,top
J21,148.82224895296636,-126.26440004703363,45.0,top
J3,171.65364435755365,-57.99752426726221,247.0,top
J4,190.2,-79.1,270.0,top
J5,166.47434909406726,-107.28096590593275,225.0,top
J6,155.295,-112.995,0.0,top
R1,180.0,-70.7,270.0,top
R2,176.8,-70.68,270.0,top
R4,163.29999993363722,-92.30000032776921,247.0,top
R5,140.6000054624122,-109.19998892658747,24.0,top
R6,166.32829093363722,-85.5074243277692,247.0,top
SW1,157.60000026538043,-90.19999891214188,157.0,top
SW2,119.37051236252786,-108.99639224417356,22.0,top
SW3,160.60000026538043,-83.10000091214188,157.0,top
U1,165.494077,-108.729616,315.0,bottom
U2,124.5178,-125.2159,0.0,bottom
U3,191.3805,-60.385,0.0,top
